"Date","Video Views","Profile Views","Likes","Comments","Shares"
"March 15","338","2","33","-4","0"
"March 16","266","0","30","0","0"
"March 17","270","2","18","0","1"
"March 18","299","2","28","0","1"
"March 19","2991","9","228","8","9"
"March 20","5058","13","315","0","19"
"March 21","1603","10","60","0","2"
"March 22","1235","4","34","-1","2"
"March 23","453","1","29","1","4"
"March 24","420","0","29","0","1"
"March 25","452","2","34","1","1"
"March 26","497","3","35","0","2"
"March 27","519","1","50","0","4"
"March 28","530","1","34","0","2"
"March 29","369","0","23","0","0"
"March 30","266","3","18","0","0"
